tweets,sentiment
is bored and wants to watch a movie  any suggestions?,0
back in miami.  waiting to unboard ship ,0
"@misskpey awwww dnt dis brng bak memoriessss,  I thnk I'm sad. LoL",0
ughhh i am so tired  blahhhhhhhhh,0
@mandagoforth me bad! It's funny though. Zachary Quinto is only there for a few though.  &amp; to reply just put the @ symbol before the name!,0
"brr, i'm so cold. at the moment doing my assignment on Huntington's Disease, which is really depressing ",0
"@kevinmarquis haha yep but i really need to sleep, i feel like crap lol cant sleep when he's away  god i'm pathetic!",0
eating some ice-cream while I try to see @peterfacinelli's followers numbre raise...not working sadly ,0
@phatty84 just hella bored at work  lol,0
Food poisoning blowssss ,0
"@StaciG She sent home the best guy, I'm over the show already ",0
@shika Yeah I did. Trying to recover it now. I guess its time to retire that hardware ,0
can't fall asleep ,0
Padres come back from being down 6-0 &amp; we lost. Breaking the streak!  still loving my padres tho,0
Awe shiiiiiiiiiiiit! Chente got dem killahzzzz............! ,0
@sfannah Ahhhhh  Well at least I'm up to!,0
@BrianQuest I made 1 fo u 2: http://bit.ly/eId8A  I tried but its kinda ugly cuz I couldnt find pics ,0
"mhm  oh, I brought my hendrick's out to vancouver (what's left of it), cause I didn't want to try tracking some down xP",0
"@garethemery Gareth, all of are tuned, it but they are not broadcasting main stage, which kinda sucks, so we wont get to listen to u ",0
@KimberleyMtkg Hey there! No can do!  Traveling and not back in town until mid next week.    Miss you!,0
"@DanieSass so IDK when it happened or how, but i accidentaly stopped following you  how are you??? how have you been?",0
what is up with my hip ,0
Back niggly again today (boo) so couldn't train as planned  only 15 days 'til Race for Life!! eeek!,0
"ut oh, I wonder if the RAM on the desktop is starting to go ",0
@HungryDomaine you said &quot;Mermaid for dinner&quot; - I was unsuccessfully witty ,0
"Eeeeep! New Moon is only 172 days away... Actually, that is ages. ",0
Missin the wifeyy like no other ,0
@tommcfly i have a whole in my shoe too ,0
i seem to have lost my bank statement. ,0
"Back from the beach, itï¿½s been a long time since I last had ï¿½Shvizut Yom Alefï¿½  wellï¿½at least @shirshor is on her way to visit me.",0
hummm.. goodnight twitter .. ending off in an upset state ,0
shit you mister gembul! oh no.. you stole my handphone ,0
is wishing tomorrow will be easier than today but then comes red day ,0
i am so exhausted ,0
Wah...I Miss Him So Much  ..,0
"I was rollin' up Prince Ave, heard all the sirens, looked over and saw lots of smoke. ",0
@jChamanes I'm not a sir! ,0
"Geography gcse on tuesday and i couldn't be more scaredddd, i seriously know i'm gunna fail and i really don't want to. ",0
"Studying, cleaning and grocery shopping, all whilst hungover... what a fun day ",0
Internet still down. Luckily I can watch the game. Sorry if you DM..I can't answer ,0
"Ah, suddenly I can feel the bitter of those medicines. ",0
Bored at work. I don't get outta here 'til 5pm. Bleh. Brewery tonight with my girls. I wish Kristy was here ,0
Anyone want to see transformers tonight? :/ I don't want to go alone. too many bugbites ,0
"@andrewhuntre Just looked up The Industry. Looks funny, clever. One review likened it to The Newsroom which I loved! Discontinued tho ",0
